id,name_clean,name_last_first,name_key,country_clean,country_key,appearance_count,years,medals_by_year,rank_averages_by_year,percentiles_by_year,contestant_ids,name_variants,country_variants
15,Zeyin Wu,"Wu, Zeyin",zeyin wu,Botswana,botswana,1,2023,2023:Merit,2023:220,2023:0.2857142857,BWA2A-P02,,Botswana
16,Adelina Tsvetkova Dorovska,"Dorovska, Adelina Tsvetkova",adelina tsvetkova dorovska,Bulgaria,bulgaria,1,2022,2022:Bronze,2022:75,2022:0.7395833333,BGR2A-P01,,Bulgaria
17,Aleks Rosenov Karabashev,"Karabashev, Aleks Rosenov",aleks rosenov karabashev,Bulgaria,bulgaria,1,2018,2018:Bronze,2018:64,2018:0.7961783439,BUL2G03,,Bulgaria
18,Aleksandar Angelov Zhelyazkov,"Zhelyazkov, Aleksandar Angelov",aleksandar angelov zhelyazkov,Bulgaria,bulgaria,1,2015,2015:Bronze,2015:93,2015:0.6980519481,BUL2B01,,Bulgaria
19,Aleksandar Desislavov Nikolov,"Nikolov, Aleksandar Desislavov",aleksandar desislavov nikolov,Bulgaria,bulgaria,1,2023,2023:Bronze,2023:78,2023:0.7467532468,BGR2J-P04,,Bulgaria
20,Aleksandar Georgiev Georgiev,"Georgiev, Aleksandar Georgiev",aleksandar georgiev georgiev,Bulgaria,bulgaria,1,2013,2013:Silver,2013:54.5,2013:0.8146258503,,Aleksandar Georgiev,Bulgaria
21,Aleksander Zapryanov,"Zapryanov, Aleksander",aleksander zapryanov,Bulgaria,bulgaria,1,2014,2014:Silver,2014:60.5,2014:0.8126934985,BUL2C01,,Bulgaria
22,Alex Martinov Kirichev,"Kirichev, Alex Martinov",alex martinov kirichev,Bulgaria,bulgaria,1,2021,2021:Bronze,2021:112.5,2021:0.6394230769,BGR2D-P02,,Bulgaria
23,Alexandar Panchev,"Panchev, Alexandar",alexandar panchev,Bulgaria,bulgaria,1,2013,2013:Merit,2013:126.5,2013:0.5697278912,,,Bulgaria
24,Alexander Marianov Marinov,"Marinov, Alexander Marianov",alexander marianov marinov,Bulgaria,bulgaria,1,2022,2022:Merit,2022:166,2022:0.4236111111,BGR2B-P02,,Bulgaria
25,Alexander Rossen Stefanov,"Stefanov, Alexander Rossen",alexander rossen stefanov,Bulgaria,bulgaria,1,2022,2022:Merit,2022:201.5,2022:0.3003472222,BGR2H-P03,,Bulgaria
26,Alina Krasimirova Boyanova,"Boyanova, Alina Krasimirova",alina krasimirova boyanova,Bulgaria,bulgaria,1,2021,2021:Merit,2021:163,2021:0.4775641026,BGR2B-P04,,Bulgaria
27,Alyara Alkanova Mahmudova,"Mahmudova, Alyara Alkanova",alyara alkanova mahmudova,Bulgaria,bulgaria,2,2018;2019,2018:Merit;2019:Silver,2018:131.5;2019:47.5,2018:0.5812101911;2019:0.8137254902,BUL2J01;BUL2A01,Alyara Mahmudova,Bulgaria
28,Andrey Ivaylov Tsochev,"Tsochev, Andrey Ivaylov",andrey ivaylov tsochev,Bulgaria,bulgaria,1,2015,2015:Silver,2015:58,2015:0.8116883117,BUL2A03,,Bulgaria
29,Andrey Zdravkov Stefanov,"Stefanov, Andrey Zdravkov",andrey zdravkov stefanov,Bulgaria,bulgaria,1,2021,2021:Gold,2021:3.5,2021:0.9887820513,BGR2B-P02,,Bulgaria
30,Andreya Ognyanova Hristova,"Hristova, Andreya Ognyanova",andreya ognyanova hristova,Bulgaria,bulgaria,1,2017,2017:Silver,2017:53.5,2017:0.8210702341,BUL2D04,,Bulgaria
31,Angel Antonov Hristov,"Hristov, Angel Antonov",angel antonov hristov,Bulgaria,bulgaria,2,2018;2019,2018:Bronze;2019:Gold,2018:96.5;2019:4,2018:0.6926751592;2019:0.9843137255,BUL2J02;BUL2A02,Angel Hristov,Bulgaria
32,Angel Ivanov Raychev,"Raychev, Angel Ivanov",angel ivanov raychev,Bulgaria,bulgaria,2,2016;2017,2016:Bronze;2017:Gold,2016:56;2017:3,2016:0.786259542;2017:0.9899665552,BUL-SP-D32;BUL2C01,,Bulgaria
33,Anton Georgiev Breskovski,"Breskovski, Anton Georgiev",anton georgiev breskovski,Bulgaria,bulgaria,1,2018,2018:Bronze,2018:64,2018:0.7961783439,BUL2G01,,Bulgaria
34,Bhuiyan Riaz Shagor,"Shagor, Bhuiyan Riaz",bhuiyan riaz shagor,Bulgaria,bulgaria,1,2017,2017:Silver,2017:53.5,2017:0.8210702341,BUL2B02,,Bulgaria
35,Bizho Bizhev Bizhev,"Bizhev, Bizho Bizhev",bizho bizhev bizhev,Bulgaria,bulgaria,1,2023,2023:Silver,2023:55,2023:0.8214285714,BGR2J-P02,,Bulgaria
36,Bogdan Ivanov Simeonov,"Simeonov, Bogdan Ivanov",bogdan ivanov simeonov,Bulgaria,bulgaria,1,2013,2013:Merit,2013:126.5,2013:0.5697278912,,,Bulgaria
37,Boriana Teodosieva Bocheva,"Bocheva, Boriana Teodosieva",boriana teodosieva bocheva,Bulgaria,bulgaria,1,2016,2016:Bronze,2016:97,2016:0.6297709924,BUL-SP-E39,,Bulgaria
38,Boris Aleksandrov Barbov,"Barbov, Boris Aleksandrov",boris aleksandrov barbov,Bulgaria,bulgaria,1,2014,2014:Gold,2014:10.5,2014:0.9674922601,BUL2B01,Boris Barbov,Bulgaria
39,Boris Danailov,"Danailov, Boris",boris danailov,Bulgaria,bulgaria,1,2019,2019:Gold,2019:14.5,2019:0.9431372549,BUL2C03,,Bulgaria
40,Boris Dimitrov Angelov,"Angelov, Boris Dimitrov",boris dimitrov angelov,Bulgaria,bulgaria,2,2021;2022,2021:Bronze;2022:Bronze,2021:72;2022:102.5,2021:0.7692307692;2022:0.6440972222,BGR2C-P01;BGR2B-P01,,Bulgaria
41,Boris Nikolov Georgiev,"Georgiev, Boris Nikolov",boris nikolov georgiev,Bulgaria,bulgaria,1,2023,2023:Merit,2023:136,2023:0.5584415584,BGR2E-P03,,Bulgaria
42,Boris Stoyanov Stoyanov,"Stoyanov, Boris Stoyanov",boris stoyanov stoyanov,Bulgaria,bulgaria,1,2018,2018:Bronze,2018:96.5,2018:0.6926751592,BUL2H03,,Bulgaria
43,Boris Valeri Todorov,"Todorov, Boris Valeri",boris valeri todorov,Bulgaria,bulgaria,1,2023,2023:Merit,2023:136,2023:0.5584415584,BGR2G-P03,,Bulgaria
44,Boris Velkov Gerginov,"Gerginov, Boris Velkov",boris velkov gerginov,Bulgaria,bulgaria,1,2018,2018:Merit,2018:177.5,2018:0.4347133758,BUL2A02,Boris Gerginov,Bulgaria
45,Borislav Kirilov Kirilov,"Kirilov, Borislav Kirilov",borislav kirilov kirilov,Bulgaria,bulgaria,3,2015;2016;2017,2015:Silver;2016:Gold;2017:Gold,2015:58;2016:10.5;2017:9.5,2015:0.8116883117;2016:0.9599236641;2017:0.9682274247,BUL2B02;BUL-SP-B24;BUL2B01,,Bulgaria
46,Borislava Ivanova Bachovska,"Bachovska, Borislava Ivanova",borislava ivanova bachovska,Bulgaria,bulgaria,1,2023,2023:Merit,2023:136,2023:0.5584415584,BGR2I-P04,,Bulgaria
47,Boyan Emilov Leonidiev,"Leonidiev, Boyan Emilov",boyan emilov leonidiev,Bulgaria,bulgaria,1,2022,2022:Merit,2022:131,2022:0.5451388889,BGR2G-P04,,Bulgaria
48,Bozhidar Aleksandrov Sakarev,"Sakarev, Bozhidar Aleksandrov",bozhidar aleksandrov sakarev,Bulgaria,bulgaria,2,2021;2022,2021:Silver;2022:Silver,2021:53;2022:51,2021:0.8301282051;2022:0.8229166667,BGR2E-P03;BGR2A-P03,,Bulgaria
49,Chavdar Lalov,"Lalov, Chavdar",chavdar lalov,Bulgaria,bulgaria,1,2013,2013:Merit,2013:185,2013:0.3707482993,,,Bulgaria
50,Cuong Viet Do,"Do, Cuong Viet",cuong viet do,Bulgaria,bulgaria,2,2015;2016,2015:Silver;2016:Gold,2015:33.5;2016:5,2015:0.8912337662;2016:0.9809160305,BUL2C04;BUL-SP-C29,Do Cuong Viet;Viet Cuong Do,Bulgaria
51,Daniel Hristov Todorov,"Todorov, Daniel Hristov",daniel hristov todorov,Bulgaria,bulgaria,1,2022,2022:Silver,2022:21.5,2022:0.9253472222,BGR2A-P04,,Bulgaria
52,Darina Spartak Marinova,"Marinova, Darina Spartak",darina spartak marinova,Bulgaria,bulgaria,2,2021;2022,2021:Bronze;2022:Bronze,2021:112.5;2022:102.5,2021:0.6394230769;2022:0.6440972222,BGR2E-P04;BGR2H-P01,,Bulgaria
53,Deyan Deyanov Hadzhi-Manich,"Hadzhi-Manich, Deyan Deyanov",deyan deyanov hadzhi manich,Bulgaria,bulgaria,1,2018,2018:Bronze,2018:64,2018:0.7961783439,BUL2H01,Deyan Deyanov Hadji-Manich,Bulgaria
54,Dimitar Dimitrov Hristov,"Hristov, Dimitar Dimitrov",dimitar dimitrov hristov,Bulgaria,bulgaria,2,2018;2019,2018:Bronze;2019:Silver,2018:64;2019:47.5,2018:0.7961783439;2019:0.8137254902,BUL2D03;BUL2B02,Dimitar Hristov,Bulgaria
55,Dimitar Lyubenov,"Lyubenov, Dimitar",dimitar lyubenov,Bulgaria,bulgaria,1,2013,2013:Silver,2013:54.5,2013:0.8146258503,,,Bulgaria
56,Dimitar Marinov Lazarov,"Lazarov, Dimitar Marinov",dimitar marinov lazarov,Bulgaria,bulgaria,1,2018,2018:Merit,2018:177.5,2018:0.4347133758,BUL2C02,,Bulgaria
57,Dimitar Nikolay Dimitrov,"Dimitrov, Dimitar Nikolay",dimitar nikolay dimitrov,Bulgaria,bulgaria,2,2015;2016,2015:Merit;2016:Merit,2015:198;2016:122.5,2015:0.3571428571;2016:0.5324427481,BUL2D03;BUL-SP-E36,,Bulgaria
58,Dimitar Nikolov Nikolov,"Nikolov, Dimitar Nikolov",dimitar nikolov nikolov,Bulgaria,bulgaria,1,2016,2016:Merit,2016:144.5,2016:0.4484732824,BUL-SP-E37,,Bulgaria
59,Dimitar Penev,"Penev, Dimitar",dimitar penev,Bulgaria,bulgaria,1,2013,2013:Merit,2013:185,2013:0.3707482993,,,Bulgaria
60,Dimitar Yasenov Oparlakov,"Oparlakov, Dimitar Yasenov",dimitar yasenov oparlakov,Bulgaria,bulgaria,1,2014,2014:Gold,2014:20.5,2014:0.9365325077,BUL2D02,,Bulgaria
61,Diyan Bobev,"Bobev, Diyan",diyan bobev,Bulgaria,bulgaria,1,2018,2018:Bronze,2018:96.5,2018:0.6926751592,BUL2A04,,Bulgaria
62,Dobromir Dobromirov Angelov,"Angelov, Dobromir Dobromirov",dobromir dobromirov angelov,Bulgaria,bulgaria,1,2019,2019:Gold,2019:4,2019:0.9843137255,BUL2E02,Dobromir Angelov,Bulgaria
63,Dragomir Dragomirov Ganeff,"Ganeff, Dragomir Dragomirov",dragomir dragomirov ganeff,Bulgaria,bulgaria,1,2015,2015:Merit,2015:126,2015:0.5909090909,BUL2B04,,Bulgaria
64,Elinor Sergeeva,"Sergeeva, Elinor",elinor sergeeva,Bulgaria,bulgaria,1,2013,2013:Bronze,2013:101,2013:0.656462585,,,Bulgaria
65,Emil Ivanichkov,"Ivanichkov, Emil",emil ivanichkov,Bulgaria,bulgaria,1,2013,2013:Merit,2013:185,2013:0.3707482993,,,Bulgaria
66,Emiliya Tsvetanova Ovcharova,"Ovcharova, Emiliya Tsvetanova",emiliya tsvetanova ovcharova,Bulgaria,bulgaria,1,2023,2023:Merit,2023:186,2023:0.3961038961,BGR2G-P02,,Bulgaria
67,Emiliyan Ventsislavov Stefanov,"Stefanov, Emiliyan Ventsislavov",emiliyan ventsislavov stefanov,Bulgaria,bulgaria,2,2014;2015,2014:Merit;2015:Merit,2014:135;2015:198,2014:0.5820433437;2015:0.3571428571,BUL2D03;BUL2D01,,Bulgaria
68,Enislav Stanislavov Nikolov,"Nikolov, Enislav Stanislavov",enislav stanislavov nikolov,Bulgaria,bulgaria,1,2018,2018:Bronze,2018:64,2018:0.7961783439,BUL2F03,,Bulgaria
69,Evgeni Staev Kayryakov,"Kayryakov, Evgeni Staev",evgeni staev kayryakov,Bulgaria,bulgaria,1,2013,2013:Bronze,2013:101,2013:0.656462585,,Evgeni Staev Kairakov,Bulgaria
70,Georgi Atanasov,"Atanasov, Georgi",georgi atanasov,Bulgaria,bulgaria,1,2013,2013:Bronze,2013:77.5,2013:0.7363945578,,,Bulgaria
71,Georgi Dimitrov Dimitrov,"Dimitrov, Georgi Dimitrov",georgi dimitrov dimitrov,Bulgaria,bulgaria,1,2023,2023:Merit,2023:136,2023:0.5584415584,BGR2G-P01,,Bulgaria
72,Georgi Dimitrov Dimitrov,"Dimitrov, Georgi Dimitrov",georgi dimitrov dimitrov,Bulgaria,bulgaria,1,2023,2023:Merit,2023:136,2023:0.5584415584,BGR2H-P04,,Bulgaria
73,Georgi Hristov Dimitrov,"Dimitrov, Georgi Hristov",georgi hristov dimitrov,Bulgaria,bulgaria,1,2017,2017:Silver,2017:33.5,2017:0.8879598662,BUL2D01,,Bulgaria
74,Georgi Iliev,"Iliev, Georgi",georgi iliev,Bulgaria,bulgaria,1,2019,2019:Silver,2019:30,2019:0.8823529412,BUL2D02,,Bulgaria
75,Georgi Kirilov Palachorov,"Palachorov, Georgi Kirilov",georgi kirilov palachorov,Bulgaria,bulgaria,2,2022;2023,2022:Merit;2023:Merit,2022:166;2023:136,2022:0.4236111111;2023:0.5584415584,BGR2F-P04;BGR2D-P01,,Bulgaria
76,Georgi Kostadinov,"Kostadinov, Georgi",georgi kostadinov,Bulgaria,bulgaria,1,2018,2018:Merit,2018:177.5,2018:0.4347133758,BUL2A01,,Bulgaria
77,Georgi Paskalev,"Paskalev, Georgi",georgi paskalev,Bulgaria,bulgaria,1,2014,2014:Bronze,2014:104.5,2014:0.6764705882,BUL2B04,,Bulgaria
78,Georgi Slavchev,"Slavchev, Georgi",georgi slavchev,Bulgaria,bulgaria,1,2019,2019:Merit,2019:131,2019:0.4862745098,BUL2B03,,Bulgaria
79,Georgi Stanimirov Tonchev,"Tonchev, Georgi Stanimirov",georgi stanimirov tonchev,Bulgaria,bulgaria,1,2018,2018:Gold,2018:9.5,2018:0.9697452229,BUL2I04,,Bulgaria
80,Gergana Georgieva Mermeklieva,"Mermeklieva, Gergana Georgieva",gergana georgieva mermeklieva,Bulgaria,bulgaria,1,2022,2022:Merit,2022:131,2022:0.5451388889,BGR2F-P01,,Bulgaria
81,Gergana Georgieva Peeva,"Peeva, Gergana Georgieva",gergana georgieva peeva,Bulgaria,bulgaria,1,2016,2016:Merit,2016:122.5,2016:0.5324427481,BUL-SP-D34,,Bulgaria
82,Gergana Miroslavova Petrova,"Petrova, Gergana Miroslavova",gergana miroslavova petrova,Bulgaria,bulgaria,1,2017,2017:Silver,2017:53.5,2017:0.8210702341,BUL2A02,,Bulgaria
83,Greta Vasileva Hristozova,"Hristozova, Greta Vasileva",greta vasileva hristozova,Bulgaria,bulgaria,1,2013,2013:Bronze,2013:77.5,2013:0.7363945578,,,Bulgaria
84,Hristiya Stefanova Topuzova,"Topuzova, Hristiya Stefanova",hristiya stefanova topuzova,Bulgaria,bulgaria,1,2021,2021:Merit,2021:193,2021:0.3814102564,BGR2F-P02,,Bulgaria
85,Hristo Zdravkov Balarev,"Balarev, Hristo Zdravkov",hristo zdravkov balarev,Bulgaria,bulgaria,2,2022;2023,2022:Bronze;2023:Bronze,2022:102.5;2023:78,2022:0.6440972222;2023:0.7467532468,BGR2G-P01;BGR2J-P03,,Bulgaria
86,Iavor Vassilev,"Vassilev, Iavor",iavor vassilev,Bulgaria,bulgaria,1,2019,2019:Bronze,2019:66.5,2019:0.7392156863,BUL2D03,,Bulgaria
87,Iliyas Bashir Noman,"Noman, Iliyas Bashir",iliyas bashir noman,Bulgaria,bulgaria,2,2017;2018,2017:Silver;2018:Bronze,2017:53.5;2018:64,2017:0.8210702341;2018:0.7961783439,BUL2D03;BUL2F01,Noman Iliyas Bashir,Bulgaria
88,Irina Atanasova Georgieva,"Georgieva, Irina Atanasova",irina atanasova georgieva,Bulgaria,bulgaria,1,2015,2015:Merit,2015:161.5,2015:0.4756493506,BUL2A01,,Bulgaria
89,Irina Julianova Sofronova,"Sofronova, Irina Julianova",irina julianova sofronova,Bulgaria,bulgaria,1,2013,2013:Silver,2013:33,2013:0.887755102,,Irina Sofronova,Bulgaria
90,Iva Ivanova,"Ivanova, Iva",iva ivanova,Bulgaria,bulgaria,1,2013,2013:Merit,2013:155.5,2013:0.4710884354,,,Bulgaria
91,Ivan Ivanov,"Ivanov, Ivan",ivan ivanov,Bulgaria,bulgaria,1,2013,2013:Gold,2013:13.5,2013:0.9540816327,,,Bulgaria
92,Ivan Matev,"Matev, Ivan",ivan matev,Bulgaria,bulgaria,1,2019,2019:Bronze,2019:66.5,2019:0.7392156863,BUL2C04,,Bulgaria
93,Ivan Neykov,"Neykov, Ivan",ivan neykov,Bulgaria,bulgaria,1,2014,2014:Merit,2014:135,2014:0.5820433437,BUL2C03,,Bulgaria
94,Ivan Todorov Georgiev,"Georgiev, Ivan Todorov",ivan todorov georgiev,Bulgaria,bulgaria,1,2023,2023:Silver,2023:55,2023:0.8214285714,BGR2F-P01,,Bulgaria
95,Ivan Ventsislavov Georgiev,"Georgiev, Ivan Ventsislavov",ivan ventsislavov georgiev,Bulgaria,bulgaria,2,2015;2016,2015:Silver;2016:Gold,2015:33.5;2016:10.5,2015:0.8912337662;2016:0.9599236641,BUL2C03;BUL-SP-C28,,Bulgaria
96,Ivan Vladimirov Stoyanov,"Stoyanov, Ivan Vladimirov",ivan vladimirov stoyanov,Bulgaria,bulgaria,2,2022;2023,2022:Merit;2023:Merit,2022:166;2023:136,2022:0.4236111111;2023:0.5584415584,BGR2D-P03;BGR2B-P02,,Bulgaria
97,Ivan-Aleksandar Veselinov Mavrov,"Mavrov, Ivan-Aleksandar Veselinov",ivan aleksandar veselinov mavrov,Bulgaria,bulgaria,1,2014,2014:Gold,2014:10.5,2014:0.9674922601,BUL2B02,Ivan-Aleksandar Mavrov,Bulgaria
98,Ivana Dimitrova Nikolova,"Nikolova, Ivana Dimitrova",ivana dimitrova nikolova,Bulgaria,bulgaria,1,2016,2016:Merit,2016:166,2016:0.3664122137,BUL-SP-B27,,Bulgaria
99,Ivanimira Krasimirova Nedelcheva,"Nedelcheva, Ivanimira Krasimirova",ivanimira krasimirova nedelcheva,Bulgaria,bulgaria,1,2021,2021:Bronze,2021:92.5,2021:0.703525641,BGR2G-P04,,Bulgaria
100,Ivaylo Plamenov Dimitrov,"Dimitrov, Ivaylo Plamenov",ivaylo plamenov dimitrov,Bulgaria,bulgaria,1,2015,2015:Bronze,2015:93,2015:0.6980519481,BUL2D04,,Bulgaria
101,Ivo Vladislavov Petrov,"Petrov, Ivo Vladislavov",ivo vladislavov petrov,Bulgaria,bulgaria,1,2015,2015:Gold,2015:5.5,2015:0.9821428571,BUL2C01,,Bulgaria
102,Kalina Shkenderova,"Shkenderova, Kalina",kalina shkenderova,Bulgaria,bulgaria,1,2013,2013:Silver,2013:54.5,2013:0.8146258503,,,Bulgaria
103,Kaloyan Atanasov,"Atanasov, Kaloyan",kaloyan atanasov,Bulgaria,bulgaria,1,2019,2019:Merit,2019:109,2019:0.5725490196,BUL2C01,,Bulgaria
104,Kaloyan Georgiev Petrov,"Petrov, Kaloyan Georgiev",kaloyan georgiev petrov,Bulgaria,bulgaria,1,2018,2018:Merit,2018:131.5,2018:0.5812101911,BUL2J03,,Bulgaria
105,Kaloyan Nikolaev Angelov,"Angelov, Kaloyan Nikolaev",kaloyan nikolaev angelov,Bulgaria,bulgaria,1,2023,2023:Merit,2023:136,2023:0.5584415584,BGR2C-P04,,Bulgaria
106,Kaloyan Todorov Fachikov,"Fachikov, Kaloyan Todorov",kaloyan todorov fachikov,Bulgaria,bulgaria,1,2016,2016:Bronze,2016:97,2016:0.6297709924,BUL-SP-C31,,Bulgaria
107,Kaloyan Vladislavov Tsanev,"Tsanev, Kaloyan Vladislavov",kaloyan vladislavov tsanev,Bulgaria,bulgaria,1,2019,2019:Merit,2019:109,2019:0.5725490196,BUL2B04,Kaloyan Tsanev,Bulgaria
108,Kamelia Svetoslsvsva Mihaylova,"Mihaylova, Kamelia Svetoslsvsva",kamelia svetoslsvsva mihaylova,Bulgaria,bulgaria,1,2017,2017:Merit,2017:132,2017:0.5585284281,BUL2E01,,Bulgaria
109,Katya Ivanova Nikolova,"Nikolova, Katya Ivanova",katya ivanova nikolova,Bulgaria,bulgaria,1,2017,2017:Merit,2017:162,2017:0.4581939799,BUL2A04,,Bulgaria
110,Kiril Atanasov Bangachev,"Bangachev, Kiril Atanasov",kiril atanasov bangachev,Bulgaria,bulgaria,1,2013,2013:Bronze,2013:77.5,2013:0.7363945578,,Kiril Bangachev,Bulgaria
111,Kiril Ivanov Zulyamski,"Zulyamski, Kiril Ivanov",kiril ivanov zulyamski,Bulgaria,bulgaria,1,2023,2023:Silver,2023:32.5,2023:0.8944805195,BGR2F-P02,,Bulgaria
112,Kiril Kirilov Momchilov,"Momchilov, Kiril Kirilov",kiril kirilov momchilov,Bulgaria,bulgaria,1,2022,2022:Silver,2022:51,2022:0.8229166667,BGR2B-P04,,Bulgaria
113,Konstantin Hristov Iliev,"Iliev, Konstantin Hristov",konstantin hristov iliev,Bulgaria,bulgaria,1,2017,2017:Silver,2017:53.5,2017:0.8210702341,BUL2D02,,Bulgaria
114,Konstantin Ivov Georgiev,"Georgiev, Konstantin Ivov",konstantin ivov georgiev,Bulgaria,bulgaria,1,2018,2018:Merit,2018:177.5,2018:0.4347133758,BUL2E01,,Bulgaria
115,Konstantin Konstantinov Tomov,"Tomov, Konstantin Konstantinov",konstantin konstantinov tomov,Bulgaria,bulgaria,1,2018,2018:Merit,2018:131.5,2018:0.5812101911,BUL2H04,,Bulgaria
116,Konstantin Radosvetov Garov,"Garov, Konstantin Radosvetov",konstantin radosvetov garov,Bulgaria,bulgaria,1,2013,2013:Silver,2013:33,2013:0.887755102,,,Bulgaria
117,Kristian Emilov Minchev,"Minchev, Kristian Emilov",kristian emilov minchev,Bulgaria,bulgaria,1,2013,2013:Merit,2013:185,2013:0.3707482993,,,Bulgaria
118,Kristin Galinova Nikolova,"Nikolova, Kristin Galinova",kristin galinova nikolova,Bulgaria,bulgaria,1,2022,2022:Merit,2022:201.5,2022:0.3003472222,BGR2E-P04,,Bulgaria
119,Kristina Georgieva Kyuchukova,"Kyuchukova, Kristina Georgieva",kristina georgieva kyuchukova,Bulgaria,bulgaria,1,2022,2022:Bronze,2022:75,2022:0.7395833333,BGR2C-P01,,Bulgaria
120,Kristina Veselinova Atanasova,"Atanasova, Kristina Veselinova",kristina veselinova atanasova,Bulgaria,bulgaria,1,2013,2013:Bronze,2013:101,2013:0.656462585,,,Bulgaria
121,Lachezar Stoyanov Ralchev,"Ralchev, Lachezar Stoyanov",lachezar stoyanov ralchev,Bulgaria,bulgaria,1,2021,2021:Silver,2021:38,2021:0.8782051282,BGR2G-P02,,Bulgaria
122,Lia Krasimirova Boyanova,"Boyanova, Lia Krasimirova",lia krasimirova boyanova,Bulgaria,bulgaria,1,2021,2021:Bronze,2021:92.5,2021:0.703525641,BGR2B-P03,,Bulgaria
123,Lyuba Konova,"Konova, Lyuba",lyuba konova,Bulgaria,bulgaria,1,2014,2014:Silver,2014:39,2014:0.8792569659,BUL2B03,,Bulgaria
124,Lyubomir Boykov Shoylev,"Shoylev, Lyubomir Boykov",lyubomir boykov shoylev,Bulgaria,bulgaria,1,2013,2013:Merit,2013:155.5,2013:0.4710884354,,,Bulgaria
125,Lyuboslav Ivanov Stefanov,"Stefanov, Lyuboslav Ivanov",lyuboslav ivanov stefanov,Bulgaria,bulgaria,1,2016,2016:Merit,2016:187,2016:0.286259542,BUL-SP-B26,,Bulgaria
126,Mardiros Hachik Ovagemyan,"Ovagemyan, Mardiros Hachik",mardiros hachik ovagemyan,Bulgaria,bulgaria,1,2015,2015:Bronze,2015:93,2015:0.6980519481,BUL2A04,,Bulgaria
127,Margulan Erlanovich Ismoldayev,"Ismoldayev, Margulan Erlanovich",margulan erlanovich ismoldayev,Bulgaria,bulgaria,2,2016;2018,2016:Merit;2018:Merit,2016:187;2018:131.5,2016:0.286259542;2018:0.5812101911,BUL-SP-E38;BUL2H02,,Bulgaria
128,Maria Cassia Lyudmilova Petrova,"Petrova, Maria Cassia Lyudmilova",maria cassia lyudmilova petrova,Bulgaria,bulgaria,1,2021,2021:Silver,2021:27,2021:0.9134615385,BGR2B-P01,,Bulgaria
129,Marin Hristov Hristov,"Hristov, Marin Hristov",marin hristov hristov,Bulgaria,bulgaria,1,2019,2019:Silver,2019:30,2019:0.8823529412,BUL2D01,Marin Hristov,Bulgaria
130,Marina Lubomirova Tankisheva,"Tankisheva, Marina Lubomirova",marina lubomirova tankisheva,Bulgaria,bulgaria,1,2023,2023:Merit,2023:220,2023:0.2857142857,BGR2H-P03,,Bulgaria
